Date,Sector,Index_Ticker,HHI
2016-08-31,Consumer Discretionary,S5COND Index,0.08158970878128655
2016-09-30,Consumer Discretionary,S5COND Index,0.08745308480202288
2016-10-31,Consumer Discretionary,S5COND Index,0.08573368792784057
2016-11-30,Consumer Discretionary,S5COND Index,0.07966462490252085
2016-12-30,Consumer Discretionary,S5COND Index,0.08019568620274413
2017-01-31,Consumer Discretionary,S5COND Index,0.08465701459111757
2017-02-28,Consumer Discretionary,S5COND Index,0.08555125317222731
2017-03-31,Consumer Discretionary,S5COND Index,0.08712829968776883
2017-04-28,Consumer Discretionary,S5COND Index,0.08906217346976666
2017-05-31,Consumer Discretionary,S5COND Index,0.09312069224654132
2017-06-30,Consumer Discretionary,S5COND Index,0.09084190252102105
2017-07-31,Consumer Discretionary,S5COND Index,0.0938017066253579
2017-08-31,Consumer Discretionary,S5COND Index,0.09368367751048327
2017-09-29,Consumer Discretionary,S5COND Index,0.09049102579817234
2017-10-31,Consumer Discretionary,S5COND Index,0.10182989055677245
2017-11-30,Consumer Discretionary,S5COND Index,0.1041114090103337
2017-12-29,Consumer Discretionary,S5COND Index,0.10089809761581835
2018-01-31,Consumer Discretionary,S5COND Index,0.11739044033134934
2018-02-28,Consumer Discretionary,S5COND Index,0.12846785126601604
2018-03-30,Consumer Discretionary,S5COND Index,0.12527834684853198
2018-04-30,Consumer Discretionary,S5COND Index,0.13243303295929357
2018-05-31,Consumer Discretionary,S5COND Index,0.13553291511739515
2018-06-29,Consumer Discretionary,S5COND Index,0.14178332833816912
2018-07-31,Consumer Discretionary,S5COND Index,0.14865886070438497
2018-08-31,Consumer Discretionary,S5COND Index,0.16435851033491444
2018-09-28,Consumer Discretionary,S5COND Index,0.16281827524117626
2018-10-31,Consumer Discretionary,S5COND Index,0.1394820493267569
2018-11-30,Consumer Discretionary,S5COND Index,0.14568721843285112
2018-12-31,Consumer Discretionary,S5COND Index,0.13976796560935587
2019-01-31,Consumer Discretionary,S5COND Index,0.14719739027557238
2019-02-28,Consumer Discretionary,S5COND Index,0.13667289950197958
2019-03-29,Consumer Discretionary,S5COND Index,0.14702897444695362
2019-04-30,Consumer Discretionary,S5COND Index,0.15293840207513215
2019-05-31,Consumer Discretionary,S5COND Index,0.15394147997561497
2019-06-28,Consumer Discretionary,S5COND Index,0.15204657926751006
2019-07-31,Consumer Discretionary,S5COND Index,0.1472085554590191
2019-08-30,Consumer Discretionary,S5COND Index,0.14225594554440402
2019-09-30,Consumer Discretionary,S5COND Index,0.13747729507867518
2019-10-31,Consumer Discretionary,S5COND Index,0.14071203173814006
2019-11-29,Consumer Discretionary,S5COND Index,0.13986655347582172
2019-12-31,Consumer Discretionary,S5COND Index,0.13811555603023432
2020-01-31,Consumer Discretionary,S5COND Index,0.15104870434752848
2020-02-28,Consumer Discretionary,S5COND Index,0.15476931908065295
2020-03-31,Consumer Discretionary,S5COND Index,0.2060183088338561
2020-04-30,Consumer Discretionary,S5COND Index,0.2191239286125011
2020-05-29,Consumer Discretionary,S5COND Index,0.1985650061309833
2020-06-30,Consumer Discretionary,S5COND Index,0.21741318891871303
2020-07-31,Consumer Discretionary,S5COND Index,0.2310160345913288
2020-08-31,Consumer Discretionary,S5COND Index,0.21688679763459862
2020-09-30,Consumer Discretionary,S5COND Index,0.20364887625312394
2020-10-30,Consumer Discretionary,S5COND Index,0.20359818677916727
2020-11-30,Consumer Discretionary,S5COND Index,0.18530812380757866
